#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-07-01T02:16:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ595703800436	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ595703800436&-file=-c&-oc.form=dec&-out.form=hori&-out.add=_1&-c.r=2&-c.geom=r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=B-V&-out=SpType&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=10
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=Plx
#-out=B-V
#-out=SpType
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_1	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	B-V	SpType
GJ 895                  	115562	23 24 30.58	+57 51 18.0	10.03	351.12742531	 57.85499554	  76.23	 1.465	M2

GJ 896A                 	116132	23 31 51.83	+19 56 14.7	10.05	352.96597910	 19.93741103	 160.06	 1.190	M6Ve


GJ 900                  	116384	23 35 00.08	+01 36 19.2	 9.59	353.75032117	  1.60533814	  51.80	 1.329	M0

GJ 9014                 	  2604	00 33 05.31	+42 00 04.0	10.94	  8.27211859	 42.00110936	  29.26	 1.311	M0

GJ 9038A                	  5110	01 05 29.91	+15 23 25.9	 8.66	 16.37462337	 15.39053992	  37.60	 1.197	K2V

GJ 9038B                	  5110	01 05 29.91	+15 23 25.9	 8.66	 16.37462337	 15.39053992	  37.60	 1.197	K2V

GJ 9042                 	  5369	01 08 40.40	+17 14 38.5	10.56	 17.16831270	 17.24402032	  35.99	 1.256	K6

GJ 9048                 	  5957	01 16 39.08	+25 19 54.2	10.10	 19.16283929	 25.33172767	  44.03	 1.353	K5


GJ 9053                 	  6344	01 21 29.95	+80 09 07.2	 9.67	 20.37480789	 80.15199391	  41.44	 1.292	K8

GJ 906                  	117197	23 45 49.25	+36 15 17.8	 9.89	356.45521053	 36.25493379	  50.78	 1.338	M0

GJ 9067A                	  9488	02 02 03.37	+03 56 27.9	10.48	 30.51404598	  3.94109509	  25.12	 1.246	K7V:



GJ 9081                 	 11317	02 25 40.07	+28 45 58.9	 9.04	 36.41694295	 28.76635752	  28.10	 0.963	K8

GJ 9093                 	 12493	02 40 42.71	+01 11 53.2	 9.51	 40.17794724	  1.19811427	  44.84	 1.185	M0

GJ 9096                 	 12680	02 42 56.84	+48 57 49.9	 9.85	 40.73681882	 48.96386067	  28.62	 0.956	K8

GJ 909B                 	117712	23 52 24.52	+75 32 40.2	 6.36	358.10217080	 75.54448646	  92.68	 0.977	K3V

GJ 910                  	117779	23 53 08.64	+29 01 04.9	 9.75	358.28601675	 29.01801815	  44.62	 1.357	

GJ 9105B                	 13642	02 55 38.89	+26 52 25.3	 7.52	 43.91202372	 26.87368205	  43.71	 0.953	K2

GJ 9111                 	 15087	03 14 34.22	+52 20 57.3	10.30	 48.64259230	 52.34925423	  36.41	 1.589	K5:

GJ 9119A                	 17102	03 39 48.99	+33 28 24.4	 9.03	 54.95411969	 33.47343115	  20.03	 1.090	K5

GJ 9128                 	 17496	03 44 50.94	+11 55 10.9	 9.13	 56.21224201	 11.91969372	  45.87	 1.179	K8V:

GJ 913                  	118212	23 58 42.94	+46 43 45.0	 9.57	359.67892108	 46.72917338	  57.62	 1.355	M0


GJ 9138                 	 18465	03 56 47.10	+53 33 40.3	10.86	 59.19623146	 53.56118489	  29.23	 1.430	M1

GJ 9162A                	 21710	04 39 42.62	+09 52 22.7	 9.19	 69.92757018	  9.87298087	  35.21	 1.018	K3V

GJ 9198                 	 29067	06 07 55.33	+67 58 37.5	 9.75	 91.98052613	 67.97709065	  40.12	 1.250	K8

GJ 9220B                	 33202	06 54 38.59	+13 10 40.9	 4.73	103.66080771	 13.17801628	  35.79	 0.321	F0Vp

GJ 9221                 	 33241	06 54 57.03	+12 09 32.4	10.58	103.73761755	 12.15901107	  20.63	 1.259	M1

GJ 9235                 	 36635	07 32 02.30	+68 37 16.6	10.84	113.00956625	 68.62127385	  40.48	 1.494	M0

GJ 9248                 	 39127	08 00 15.61	+13 47 48.8	10.34	120.06503331	 13.79688392	  28.77	 1.260	K5

GJ 9250                 	 39612	08 05 42.03	+34 04 41.2	10.16	121.42511082	 34.07811431	  36.50	 1.311	M0V:p

GJ 9251A                	 39721	08 07 09.09	+07 23 01.4	 9.70	121.78788288	  7.38372353	  24.85	 1.211	K8+...

GJ 9251B                	 39721	08 07 09.09	+07 23 01.4	 9.70	121.78788288	  7.38372353	  24.85	 1.211	K8+...

GJ 9260                 	 40671	08 18 10.97	+30 36 10.1	 8.82	124.54571465	 30.60281736	  44.34	 1.137	K4V

GJ 9262                 	 41130	08 23 30.72	+21 50 59.8	 9.52	125.87801748	 21.84995388	  37.01	 1.178	M0

GJ 9264                 	 41484	08 27 36.80	+45 39 13.8	 6.32	126.90333880	 45.65384111	  45.89	 0.624	G5V

GJ 9280                 	 44072	08 58 37.77	+20 32 49.8	 9.22	134.65738199	 20.54716860	  48.53	 1.116	M0


GJ 9323B                	 50226	10 15 11.86	+39 32 13.6	10.52	153.79942617	 39.53710916	  35.04	 1.348	

GJ 9331                 	 51547	10 31 43.30	+57 06 55.6	 9.63	157.93040109	 57.11544323	  57.18	 1.361	M0

GJ 9337                 	 53327	10 54 27.56	+76 03 55.5	 9.48	163.61482212	 76.06540631	  44.92	 1.097	K8V:

GJ 9364                 	 56229	11 31 36.50	+40 30 01.5	 9.80	172.90209236	 40.50041244	  23.25	 1.210	M0

GJ 9373                 	 57493	11 47 03.44	+50 58 19.4	 9.51	176.76434019	 50.97206679	  40.61	 1.252	M0V:p

GJ 9404                 	 60093	12 19 24.52	+28 22 55.8	10.62	184.85216737	 28.38217879	  40.58	 1.439	M2V

GJ 9420                 	 62847	12 52 48.72	+33 44 15.3	 9.46	193.20299554	 33.73757649	  28.08	 1.080	K1V

GJ 9427                 	 64048	13 07 35.16	+34 24 06.0	 9.28	196.89648916	 34.40167641	  41.90	 1.178	K3III

GJ 9433                 	 64349	13 11 24.21	+73 51 20.9	 9.35	197.85085830	 73.85581881	   8.13	 0.584	G0

GJ 9437                 	 64880	13 17 58.45	+36 17 59.8	11.28	199.49353344	 36.29995254	  46.25	 1.356	M2V:

GJ 9440                 	 65016	13 19 40.33	+33 20 48.8	10.62	199.91805903	 33.34687596	  57.52	 1.469	M2

GJ 9442                 	 65143	13 20 57.71	+34 16 46.8	10.62	200.24044732	 34.27966699	  62.13	 1.512	M0

GJ 9449                 	 66110	13 33 08.19	+43 15 10.4	 9.33	203.28413151	 43.25290099	  30.52	 1.080	K8

GJ 9451                 	 66193	13 34 03.42	+33 13 39.4	 9.19	203.51424356	 33.22760202	  43.66	 1.080	K5IV

GJ 9455B                	 66441	13 37 13.92	+30 05 13.8	10.64	204.30798521	 30.08716942	  20.70	 0.854	G0


GJ 9485                 	 71086	14 32 13.12	+11 21 09.5	 9.69	218.05465730	 11.35263340	  27.49	 1.213	M0V:p

GJ 9514                 	 74555	15 14 00.07	-03 47 54.1	 9.84	228.50030750	 -3.79836583	  36.12	 1.117	K4V

GJ 9546                 	 78931	16 06 41.88	+34 37 33.0	10.44	241.67450542	 34.62582967	  22.91	 1.237	M0

GJ 9548B                	 79492	16 13 18.34	+13 31 40.5	 6.68	243.32642684	 13.52792867	  41.05	 0.764	G8V

GJ 9552                 	 79796	16 17 05.31	+55 16 12.9	 9.87	244.27210498	 55.27025957	  48.36	 1.251	M1.5Ve

GJ 9561B                	 80331	16 23 59.51	+61 30 50.7	 2.73	245.99794523	 61.51407536	  37.18	 0.910	G8III

GJ 9582B                	 83454	17 03 20.19	+59 35 13.9	10.34	255.83413265	 59.58718409	  40.18	 1.369	K0

GJ 9592                 	 85665	17 30 22.71	+05 32 56.8	 9.33	262.59462845	  5.54912350	 100.17	 1.461	M1V...

GJ 9596A                	 86282	17 37 48.80	+22 57 21.4	 9.29	264.45331762	 22.95593294	  45.17	 1.360	M0...

GJ 9596B                	 86282	17 37 48.80	+22 57 21.4	 9.29	264.45331762	 22.95593294	  45.17	 1.360	M0...

GJ 9603                 	 86916	17 45 33.57	+46 51 19.3	10.69	266.38988016	 46.85535248	  44.50	 1.045	M1

GJ 9606                 	 87745	17 55 24.83	+03 45 16.0	10.12	268.85344454	  3.75444348	  38.01	 1.460	M0

GJ 9620                 	 89517	18 16 02.19	+13 54 52.6	10.18	274.00913002	 13.91460796	  52.57	 1.404	M0

GJ 9645                 	 94056	19 08 53.99	+34 03 43.6	 9.42	287.22497194	 34.06211485	  34.37	 1.238	K8

GJ 9660                 	 96121	19 32 37.79	+00 34 38.8	10.42	293.15745654	  0.57745578	  43.86	 1.406	M1

GJ 9667                 	 97051	19 43 25.23	+10 05 21.4	10.00	295.85510662	 10.08926496	  44.18	 1.260	M0

GJ 9698                 	101262	20 31 31.97	+33 46 33.0	 9.22	307.88321781	 33.77583031	  38.18	 1.141	K5

GJ 9739                 	105885	21 26 42.48	+03 44 14.2	10.50	321.67697943	  3.73727114	  34.92	 1.369	M1

GJ 9752                 	107346	21 44 30.01	+41 35 50.5	 9.65	326.12503938	 41.59736227	  49.27	 1.334	K0

GJ 9764                 	108467	21 58 23.97	+75 35 20.4	10.56	329.59989019	 75.58900273	  47.95	 0.742	M0

GJ 9772                 	109601	22 12 06.65	+31 33 44.7	10.16	333.02771721	 31.56242247	  24.11	 1.167	M0

GJ 9781A                	110640	22 24 45.65	+22 33 04.7	 8.83	336.19019395	 22.55129424	  46.74	 1.180	M0

GJ 9782B                	110785	22 26 37.22	+04 23 37.1	 5.76	336.65507484	  4.39363758	  25.34	 0.519	F7V

GJ 9795                 	112496	22 47 13.45	+18 23 03.4	 9.02	341.80606144	 18.38428573	  37.58	 1.048	G0

GJ 9799                 	112909	22 51 53.18	+31 45 15.6	11.66	342.97156518	 31.75433773	  70.30	 1.500	M3.5Ve

GJ 9840                 	117492	23 49 28.78	+35 39 51.8	 9.38	357.36991190	 35.66439900	  35.74	 1.120	M0

GJ 9841                 	117559	23 50 27.69	+30 21 11.6	 9.35	357.61537150	 30.35323272	  40.24	 1.226	M0

HD 100180               	 56242	11 31 45.14	+14 21 53.9	 6.27	172.93809402	 14.36496370	  43.42	 0.570	G0V

HD 100563               	 56445	11 34 22.06	+03 03 37.5	 5.76	173.59189996	  3.06041500	  37.65	 0.480	F5V

HD 10072                	  7719	01 39 21.02	+44 23 10.1	 5.01	 24.83757938	 44.38612827	  13.46	 0.883	G8III...

HD 101177               	 56809	11 38 45.39	+45 06 30.2	 6.29	174.68913216	 45.10837959	  42.94	 0.566	G0V

HD 1013                 	  1168	00 14 36.11	+20 12 24.1	 4.79	  3.65045047	 20.20669720	  10.01	 1.572	M2III

HD 1014                 	  1158	00 14 27.59	-07 46 49.9	 5.13	  3.61496786	 -7.78053784	   5.21	 1.601	M3IIIvar

HD 10145                	  7902	01 41 36.70	+66 54 38.1	 7.70	 25.40291709	 66.91058850	  27.28	 0.691	G5V

HD 101501               	 56997	11 41 03.03	+34 12 09.2	 5.31	175.26260484	 34.20256022	 104.81	 0.723	G8Vvar

HD 102158               	 57349	11 45 31.02	+47 40 03.3	 8.06	176.37925145	 47.66758659	  19.17	 0.622	G2V

HD 10307                	  7918	01 41 46.52	+42 36 49.7	 4.96	 25.44381547	 42.61380692	  79.09	 0.618	G2V



HD 103431               	 58073	11 54 35.36	+19 25 40.3	 8.43	178.64732892	 19.42786358	  27.44	 0.760	G5

HD 103432               	 58067	11 54 32.35	+19 24 40.6	 8.20	178.63477708	 19.41126815	  27.01	 0.710	G0

HD 10348                	  7906	01 41 39.24	+30 02 49.7	 5.97	 25.41350900	 30.04713542	   6.23	 1.015	K0III

HD 1038                 	  1170	00 14 38.43	-18 55 57.7	 4.44	  3.66013628	-18.93268628	   6.62	 1.640	M1III

HD 10380                	  7884	01 41 25.91	+05 29 15.4	 4.45	 25.35794814	  5.48760445	   8.86	 1.347	K3III

HD 104304               	 58576	12 00 44.37	-10 26 41.4	 5.54	180.18486353	-10.44483921	  77.48	 0.760	K0IV

HD 10436                	  8070	01 43 41.25	+63 49 29.3	 8.42	 25.92186046	 63.82481469	  74.45	 1.202	K5V

HD 104556               	 58708	12 02 29.19	+43 05 07.2	 6.64	180.62163890	 43.08532391	  18.05	 0.860	G8Vw...

HD 10476                	  7981	01 42 29.95	+20 16 12.5	 5.24	 25.62479083	 20.27015091	 133.91	 0.836	K1V

HD 106516               	 59750	12 15 10.54	-10 18 35.8	 6.11	183.79391146	-10.30993958	  44.34	 0.470	F5V

HD 10697                	  8159	01 44 55.85	+20 05 00.3	 6.27	 26.23271918	 20.08340568	  30.71	 0.720	G5IV


HD 107013               	 60035	12 18 42.79	-71 52 59.3	 7.99	184.67828183	-71.88313961	  10.79	 1.050	K1III

HD 107213               	 60098	12 19 29.66	+28 09 26.0	 6.38	184.87358760	 28.15722194	  20.12	 0.523	F8Vs

HD 107596               	 60303	12 21 53.94	+42 08 06.5	 9.36	185.47473564	 42.13514194	  62.54	 1.354	M0V

HD 10761                	  8198	01 45 23.59	+09 09 27.5	 4.26	 26.34828629	  9.15764102	  12.63	 0.942	K0III

HD 10780                	  8362	01 47 44.06	+63 51 11.2	 5.63	 26.93360110	 63.85310111	 100.24	 0.804	K0V

HD 108022               	 60535	12 24 36.19	+18 40 06.1	 8.20	186.15080193	 18.66835998	   1.79	 1.520	K2

HD 108076               	 60551	12 24 46.33	+38 19 06.9	 8.03	186.19302339	 38.31858319	  26.94	 0.585	G0V

HD 10830                	  8209	01 45 38.65	-25 03 08.8	 5.29	 26.41106016	-25.05243403	  36.46	 0.395	F2IV

HD 10853                	  8275	01 46 38.70	+12 24 43.0	 8.91	 26.66124423	 12.41195514	  43.37	 1.044	K5

HD 108799               	 60994	12 30 04.93	-13 23 35.0	 6.37	187.52054829	-13.39305238	  40.03	 0.591	G1/G2V

HD 109358               	 61317	12 33 45.09	+41 21 24.4	 4.24	188.43788561	 41.35676779	 119.46	 0.588	G0V

HD 10975                	  8423	01 48 38.84	+37 57 10.6	 5.94	 27.16184118	 37.95293583	  10.57	 0.975	K0III

HD 110010               	 61597	12 37 19.62	+79 12 55.6	 6.99	189.33175023	 79.21544589	  27.94	 0.633	G0

HD 110833               	 62145	12 44 14.90	+51 45 35.1	 7.01	191.06209348	 51.75974874	  66.40	 0.936	K3V

HD 110897               	 62207	12 44 59.68	+39 16 42.9	 5.95	191.24865101	 39.27857766	  57.57	 0.557	G0V

HD 111456               	 62512	12 48 39.34	+60 19 11.6	 5.83	192.16390269	 60.31989667	  41.39	 0.467	F5V

HD 11151                	  8598	01 50 57.09	+51 56 01.3	 5.96	 27.73786884	 51.93369809	  22.42	 0.419	F5V

HD 111631               	 62687	12 50 43.58	-00 46 01.8	 8.49	192.68160072	 -0.76716459	  92.75	 1.409	M0.5V

HD 111812               	 62763	12 51 41.93	+27 32 26.6	 4.93	192.92469926	 27.54073393	  10.62	 0.681	G0III

HD 111998               	 62875	12 53 11.31	-03 33 11.1	 6.11	193.29712947	 -3.55308979	  30.75	 0.493	F5V

HD 112758               	 63366	12 59 02.05	-09 50 04.4	 7.54	194.75855022	 -9.83456221	  47.60	 0.769	K0V

HD 11353                	  8645	01 51 27.61	-10 20 05.8	 3.74	 27.86504416	-10.33494526	  12.59	 1.136	K2III

HD 113827               	 63894	13 05 41.35	+49 28 17.7	 9.26	196.42229676	 49.47159535	  45.69	 1.168	K0

HD 114094               	 64103	13 08 13.32	+03 46 37.0	 9.67	197.05548782	  3.77695791	  14.41	 0.702	G

HD 114174               	 64150	13 08 50.97	+05 12 31.9	 6.78	197.21239048	  5.20886950	  38.07	 0.667	G5IV

HD 114378               	 64241	13 09 59.55	+17 31 44.8	 4.32	197.49812263	 17.52911621	  69.81	 0.455	F5V


HD 11443                	  8796	01 53 04.90	+29 34 45.8	 3.42	 28.27041595	 29.57939727	  50.87	 0.488	F6IV

HD 114606               	 64345	13 11 21.71	+09 37 31.2	 8.72	197.84046662	  9.62532760	  16.36	 0.622	G1V



HD 115043               	 64532	13 13 36.89	+56 42 29.9	 6.82	198.40370674	 56.70831399	  38.92	 0.603	G1V

HD 115383               	 64792	13 16 46.71	+09 25 25.3	 5.19	199.19463902	  9.42369300	  55.71	 0.585	G0Vs

HD 115404               	 64797	13 16 50.67	+17 01 04.1	 6.49	199.21111349	 17.01781641	  89.07	 0.926	K2V


HD 11559                	  8833	01 53 33.34	+03 11 14.9	 4.61	 28.38890233	  3.18747844	  17.11	 0.928	K0III SB


HD 116459               	 64655	13 15 12.32	+84 45 07.6	 7.27	198.80131614	 84.75210233	  18.64	 0.530	G0

HD 117176               	 65721	13 28 25.95	+13 46 48.7	 4.97	202.10812668	 13.78018777	  55.22	 0.714	G5V

HD 11727                	  9001	01 55 54.47	+37 16 40.1	 5.89	 28.97697359	 37.27780093	   3.29	 1.599	K5III

HD 11749                	  9021	01 56 09.23	+37 15 06.5	 5.69	 29.03845779	 37.25180400	  10.18	 1.060	G8III...

HD 118576               	 66439	13 37 12.47	+30 05 06.0	 9.32	204.30196817	 30.08501186	  18.40	 0.640	G8V

HD 11909                	  9110	01 57 21.03	+17 49 03.3	 5.09	 29.33763922	 17.81758940	   4.95	 0.921	K1p...

HD 119217               	 66840	13 41 55.78	-00 07 41.2	 9.76	205.48243094	 -0.12809907	  42.19	 1.288	M0V

HD 11973                	  9153	01 57 55.78	+23 35 45.9	 4.79	 29.48239763	 23.59609610	  24.49	 0.290	F0V



HD 120136               	 67275	13 47 16.04	+17 27 24.4	 4.50	206.81681937	 17.45677436	  64.12	 0.508	F7V

HD 120476               	 67422	13 49 04.28	+26 58 48.5	 7.05	207.26781460	 26.98012928	  73.25	 1.110	K2

HD 120477               	 67459	13 49 28.70	+15 47 52.1	 4.05	207.36957439	 15.79780583	  13.29	 1.520	K5IIIvar

HD 12139                	  9307	01 59 35.60	+21 03 31.0	 5.89	 29.89831329	 21.05860461	   8.17	 1.031	K0III-IV

HD 122120               	 68337	13 59 19.50	+22 52 11.0	 9.05	209.83127021	 22.86971986	  41.97	 1.160	K

HD 12235                	  9353	02 00 09.02	+03 05 51.5	 5.89	 30.03760293	  3.09763527	  32.18	 0.610	G2IV

HD 122742               	 68682	14 03 32.30	+10 47 15.1	 6.27	210.88458683	 10.78751797	  60.24	 0.733	G8V

HD 124570               	 69536	14 14 05.33	+12 57 34.5	 5.53	213.52221581	 12.95957667	  30.06	 0.537	F6IV

HD 124850               	 69701	14 16 00.88	-05 59 58.3	 4.07	214.00368717	 -5.99952622	  46.74	 0.511	F7V



HD 12533                	  9640	02 03 53.92	+42 19 47.5	 2.10	 30.97466283	 42.32984832	   9.19	 1.370	B8V

HD 125455               	 70016	14 19 35.23	-05 09 03.2	 7.58	214.89680883	 -5.15089823	  48.12	 0.867	K1V


HD 126053               	 70319	14 23 15.15	+01 14 33.8	 6.25	215.81314273	  1.24272950	  56.82	 0.639	G1V

HD 126660               	 70497	14 25 12.02	+51 51 06.2	 4.04	216.30008064	 51.85171354	  68.63	 0.497	F7V

HD 127506               	 70950	14 30 45.32	+35 27 11.8	 8.68	217.68884229	 35.45326727	  45.46	 1.031	K3V

HD 128165               	 71181	14 33 29.05	+52 54 29.5	 7.24	218.37105398	 52.90818846	  74.50	 0.997	K3V

HD 128167               	 71284	14 34 40.69	+29 44 41.3	 4.47	218.66954381	 29.74480735	  64.66	 0.364	F3Vwvar

HD 128428               	 71462	14 36 53.90	-04 16 44.5	 7.79	219.22457920	 -4.27901580	  19.12	 0.755	G0

HD 12929                	  9884	02 07 10.29	+23 27 46.0	 2.01	 31.79285757	 23.46277743	  49.48	 1.151	K2III

HD 129333               	 71631	14 39 00.40	+64 17 30.1	 7.60	219.75165826	 64.29168401	  29.46	 0.626	F8

HD 12953                	  9990	02 08 40.58	+58 25 25.0	 5.66	 32.16908619	 58.42360489	   1.79	 0.595	A1Ia

HD 130818               	 72528	14 49 43.00	+23 01 56.5	 7.12	222.42916115	 23.03235044	  19.86	 0.455	F6IV

HD 130871               	 72577	14 50 21.32	+06 48 54.3	 9.08	222.58883198	  6.81509159	  32.53	 0.957	K2V

HD 130992               	 72688	14 51 41.07	-24 18 11.1	 7.81	222.92112320	-24.30308356	  58.96	 1.036	K3V

HD 131156               	 72659	14 51 23.28	+19 06 02.3	 4.54	222.84701756	 19.10063329	 149.26	 0.720	G8V + K4V


HD 131582               	 72875	14 53 42.09	+23 20 42.6	 8.65	223.42539399	 23.34516795	  43.66	 0.934	K3V

HD 132142               	 73005	14 55 12.00	+53 40 45.1	 7.77	223.79999963	 53.67918367	  41.83	 0.785	K1V

HD 132950               	 73512	15 01 29.91	+15 52 10.1	 9.13	225.37463173	 15.86946404	  32.93	 1.043	K2

HD 133640               	 73695	15 03 47.68	+47 39 14.5	 4.83	225.94867417	 47.65401409	  78.39	 0.647	G2V + G2V

HD 134083               	 73996	15 07 17.95	+24 52 10.5	 4.93	226.82477948	 24.86959294	  50.70	 0.429	F5V


HD 13421                	 10212	02 11 21.16	+08 34 12.3	 5.64	 32.83817716	  8.57008262	  23.52	 0.569	G0IV

HD 134319               	 73869	15 05 50.07	+64 02 49.0	 8.40	226.45861033	 64.04693708	  22.59	 0.677	G5

HD 13456                	 10215	02 11 22.24	-10 03 06.3	 6.00	 32.84267760	-10.05174603	  20.00	 0.418	F5V

HD 13480                	 10280	02 12 22.32	+30 18 11.6	 4.94	 33.09301632	 30.30321507	  10.68	 0.770	F5V comp SB

HD 13520                	 10340	02 13 13.34	+44 13 54.1	 4.84	 33.30558667	 44.23168903	   5.86	 1.476	K4III

HD 13530                	 10366	02 13 36.02	+51 03 58.4	 5.31	 33.40008213	 51.06623342	  16.39	 0.926	G8III:var

HD 13579                	 10531	02 15 41.76	+67 40 23.0	 7.13	 33.92400175	 67.67305655	  42.46	 0.920	K2V

HD 136064               	 74605	15 14 38.00	+67 20 51.6	 5.15	228.65834777	 67.34767598	  39.51	 0.550	F9IV

HD 136202               	 74975	15 19 18.58	+01 46 00.0	 5.04	229.82741626	  1.76665611	  40.46	 0.540	F8III-IV

HD 136834               	 75266	15 22 42.76	+01 25 10.2	 8.28	230.67816257	  1.41951111	  39.35	 0.992	K3V

HD 137763               	 75718	15 28 09.57	-09 20 49.9	 6.89	232.03986870	 -9.34718625	  50.34	 0.788	K2V

HD 137778               	 75722	15 28 12.16	-09 21 25.2	 7.57	232.05067543	 -9.35699504	  48.06	 0.868	K2V

HD 13871                	 10540	02 15 45.94	+25 46 59.2	 5.79	 33.94139916	 25.78309877	  24.93	 0.439	F6IV-V

HD 139323               	 76375	15 35 56.91	+39 49 51.6	 7.65	233.98711299	 39.83099529	  44.93	 0.946	K3V



HD 141004               	 77257	15 46 26.75	+07 21 11.7	 4.42	236.61144121	  7.35323973	  85.08	 0.604	G0Vvar

HD 14129                	 10642	02 16 58.99	-06 25 18.7	 5.51	 34.24578955	 -6.42185630	   9.58	 0.962	G8III

HD 142373               	 77760	15 52 40.19	+42 27 00.0	 4.60	238.16747684	 42.44998796	  63.08	 0.563	F9V


HD 142908               	 78012	15 55 47.57	+37 56 48.3	 5.43	238.94818797	 37.94676324	  24.12	 0.352	F0IV

HD 143291               	 78241	15 58 32.54	+27 44 21.4	 8.02	239.63557861	 27.73927537	  38.34	 0.757	K0V

HD 143665               	 78165	15 57 39.91	+65 23 49.5	 9.04	239.41630887	 65.39708813	  20.66	 0.860	G5

HD 143761               	 78459	16 01 02.80	+33 18 19.4	 5.39	240.26166247	 33.30538815	  57.38	 0.612	G2V

HD 144284               	 78527	16 01 53.70	+58 33 52.0	 4.01	240.47376560	 58.56443739	  47.79	 0.528	F8IV-V

HD 144287               	 78709	16 04 04.03	+25 15 11.3	 7.10	241.01678536	 25.25315003	  46.56	 0.771	G8V

HD 144579               	 78775	16 04 57.22	+39 09 23.0	 6.66	241.23842890	 39.15638126	  69.61	 0.734	G8V

HD 144872               	 78913	16 06 29.43	+38 38 00.8	 8.58	241.62260618	 38.63354279	  42.57	 0.963	K3V

HD 14489                	 11060	02 22 21.43	+55 50 44.4	 5.16	 35.58930899	 55.84565637	   1.59	 0.369	A2Ia

HD 145675               	 79248	16 10 24.21	+43 49 06.1	 6.61	242.60086331	 43.81836990	  55.11	 0.877	K0V

HD 145742               	 78424	16 00 36.73	+80 37 39.9	 7.57	240.15303746	 80.62773813	   6.18	 1.060	K0

HD 145958               	 79492	16 13 18.34	+13 31 40.5	 6.68	243.32642684	 13.52792867	  41.05	 0.764	G8V

HD 146233               	 79672	16 15 37.13	-08 22 05.7	 5.49	243.90472242	 -8.36823651	  71.30	 0.652	G1V

HD 146362               	 79607	16 14 41.04	+33 51 31.8	 5.23	243.67100328	 33.85882404	  46.11	 0.599	F8V

HD 147231               	 79619	16 14 50.25	+70 55 49.3	 7.83	243.70938466	 70.93035842	  24.58	 0.722	G5

HD 147365               	 80008	16 19 55.24	+39 42 30.9	 5.48	244.98017016	 39.70859042	  37.29	 0.410	F3IV-V

HD 147379               	 79755	16 16 43.50	+67 14 19.1	 8.61	244.18123674	 67.23863768	  93.79	 1.409	M0Vvar

HD 148387               	 80331	16 23 59.51	+61 30 50.7	 2.73	245.99794523	 61.51407536	  37.18	 0.910	G8III

