#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-07-01T03:26:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ595715f620d8	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ595715f620d8&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-out.add=_1
#-c.r=10
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=Plx
#-out=B-V
#-out=SpType
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_1	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	B-V	SpType
HIP 18824               	 18824	04 02 03.18	-34 28 55.6	 6.73	 60.51325842	-34.48212185	  19.15	 0.628	G1/G2V

HIP 18859               	 18859	04 02 36.66	-00 16 05.9	 5.38	 60.65273634	 -0.26831052	  52.00	 0.516	F5V


HIP 19024               	 19024	04 04 30.79	+00 14 47.2	 8.32	 61.12830821	  0.24643554	  21.76	 0.769	G5

HIP 19143               	 19143	04 06 11.29	+32 57 10.4	10.00	 61.54702839	 32.95288368	  27.68	 0.964	K5

HIP 19148               	 19148	04 06 16.06	+15 41 53.4	 7.85	 61.56689905	 15.69816786	  21.41	 0.593	G0

HIP 19232               	 19232	04 07 20.76	-27 25 30.2	 8.49	 61.83651959	-27.42506912	  21.79	 0.832	K1V

HIP 1936                	  1936	00 24 25.50	-27 01 37.1	 7.92	  6.10623866	-27.02697608	  55.53	 0.940	K2V

HIP 19428               	 19428	04 09 38.81	+31 39 07.0	 6.88	 62.41171272	 31.65195602	  25.08	 0.550	F5

HIP 19786               	 19786	04 14 27.19	+12 26 07.2	 8.05	 63.61327492	 12.43534652	  22.19	 0.640	G0

HIP 19788               	 19788	04 14 30.24	+03 01 17.0	 8.78	 63.62598058	  3.02139704	  30.02	 0.943	K3V


HIP 19911               	 19911	04 16 16.55	+07 09 34.5	 7.50	 64.06894650	  7.15957076	  28.69	 0.661	G0

HIP 20218               	 20218	04 19 57.11	-04 26 19.2	 7.84	 64.98796925	 -4.43867332	  27.88	 0.673	G5

HIP 20638               	 20638	04 25 23.73	-35 40 31.5	 7.79	 66.34886891	-35.67540877	  24.04	 0.629	G3IV/V

HIP 20800               	 20800	04 27 24.63	+46 51 14.0	 6.72	 66.85264573	 46.85388868	  33.52	 0.711	G0

HIP 20802               	 20802	04 27 26.56	-29 11 49.0	 7.75	 66.86068100	-29.19693139	  10.05	 0.752	G6V

HIP 20826               	 20826	04 27 46.01	+11 44 11.2	 7.49	 66.94170443	 11.73644954	  21.18	 0.560	F8

HIP 20899               	 20899	04 28 48.23	+17 17 07.9	 7.83	 67.20096632	 17.28553719	  21.09	 0.609	G2V

HIP 20917               	 20917	04 29 00.17	+21 55 20.2	 8.30	 67.25069146	 21.92227514	  87.17	 1.363	K7V

HIP 21276               	 21276	04 33 54.37	+64 37 59.1	 7.75	 68.47655589	 64.63309430	  36.32	 0.759	G0

HIP 21553               	 21553	04 37 40.64	+52 53 41.2	 8.62	 69.41931771	 52.89476987	  98.12	 1.423	K8V

HIP 21556               	 21556	04 37 42.00	-11 02 18.3	10.34	 69.42500270	-11.03840438	  90.23	 1.505	M1

HIP 21654               	 21654	04 38 57.25	+14 06 20.3	 7.96	 69.73855140	 14.10563192	  20.81	 0.655	G5

HIP 21703               	 21703	04 39 36.36	+13 07 24.4	 8.93	 69.90151304	 13.12344166	  17.64	 0.830	K0

HIP 21832               	 21832	04 41 35.90	+42 07 10.1	 7.29	 70.39956712	 42.11948366	  35.31	 0.633	G2V


HIP 22336               	 22336	04 48 36.20	-05 40 24.4	 5.77	 72.15084320	 -5.67343877	  37.73	 0.631	F8V

HIP 2237                	  2237	00 28 21.17	-20 20 05.2	 6.44	  7.08820670	-20.33477667	  31.01	 0.594	G3V

HIP 22429               	 22429	04 49 33.29	+53 21 57.1	 8.21	 72.38869441	 53.36586160	  13.61	 0.611	F8

HIP 22576               	 22576	04 51 29.43	+35 48 55.5	 6.78	 72.87261722	 35.81542612	  30.51	 0.717	G5

HIP 22596               	 22596	04 51 43.24	+45 50 07.9	 6.94	 72.93017644	 45.83553006	  33.44	 0.586	G1V-VI

HIP 22715               	 22715	04 53 04.64	+22 14 07.7	 8.78	 73.26932070	 22.23548477	  37.09	 1.019	K5V

HIP 22762               	 22762	04 53 49.73	-17 46 18.7	10.90	 73.45720690	-17.77185260	  80.89	 1.547	M3

HIP 22826               	 22826	04 54 43.60	+12 21 08.3	 7.13	 73.68166562	 12.35229831	  18.58	 0.583	F8

HIP 22907               	 22907	04 55 41.79	-28 33 48.1	 8.13	 73.92410720	-28.56336116	  55.67	 1.072	K3/K4V

HIP 22919               	 22919	04 55 55.80	+04 40 15.1	 7.02	 73.98251174	  4.67087296	  27.78	 0.561	F8

HIP 23286               	 23286	05 00 33.77	+14 23 01.3	 6.75	 75.14071109	 14.38368335	  28.49	 0.673	G5V

HIP 23452               	 23452	05 02 28.51	-21 15 22.0	 8.31	 75.61879215	-21.25610576	 117.38	 1.430	M0V

HIP 23550               	 23550	05 03 51.89	+24 58 23.2	 7.44	 75.96618918	 24.97310238	  12.63	 0.810	G8V

HIP 23786               	 23786	05 06 42.05	+14 26 48.5	 7.74	 76.67519780	 14.44681583	  41.70	 0.804	K0V

HIP 23852               	 23852	05 07 38.32	+09 28 21.8	 6.15	 76.90965166	  9.47270928	  35.34	 0.625	G1IV

HIP 23884               	 23884	05 07 55.81	+26 19 41.2	 7.60	 76.98253929	 26.32812489	  28.38	 0.664	G5IV



HIP 24205               	 24205	05 11 46.34	+04 24 13.9	 7.00	 77.94309668	  4.40387325	  34.85	 0.588	G0

HIP 2422                	  2422	00 30 54.20	+77 01 10.2	 6.18	  7.72581643	 77.01948785	  25.37	 0.883	K0IV

HIP 24332               	 24332	05 13 17.55	+37 20 15.5	 6.48	 78.32313264	 37.33763726	  38.50	 0.542	F8

HIP 24419               	 24419	05 14 19.94	-15 49 33.9	 7.43	 78.58306312	-15.82608507	  31.78	 0.719	G8V

HIP 24681               	 24681	05 17 40.98	+07 21 13.3	 7.31	 79.42075333	  7.35370479	  22.22	 0.661	G0

HIP 24786               	 24786	05 18 50.24	-18 07 48.7	 5.96	 79.70931620	-18.13019946	  40.11	 0.572	G0V

HIP 24813               	 24813	05 19 08.08	+40 06 02.4	 4.69	 79.78365993	 40.10066732	  79.08	 0.630	G0V

HIP 24864               	 24864	05 19 49.02	+02 30 49.9	 7.00	 79.95425507	  2.51385191	  26.68	 0.531	F8V

HIP 25094               	 25094	05 22 19.51	+59 16 43.0	 7.09	 80.58127514	 59.27860298	  34.00	 0.750	G5

HIP 25388               	 25388	05 25 53.29	-06 21 45.5	 7.49	 81.47203874	 -6.36262758	  17.20	 0.572	F8

HIP 25486               	 25486	05 27 04.75	-11 54 03.0	 6.30	 81.76980376	-11.90084379	  37.26	 0.553	F7V:

HIP 25490               	 25490	05 27 06.69	-31 33 58.6	 7.18	 81.77789398	-31.56626467	  17.08	 0.600	G1V

HIP 25580               	 25580	05 28 00.92	+33 45 51.2	 6.41	 82.00384487	 33.76421211	  29.54	 0.510	F5

HIP 25623               	 25623	05 28 26.28	-03 29 51.4	 7.65	 82.10948129	 -3.49761780	  77.03	 1.113	K5V

HIP 25662               	 25662	05 28 51.58	+12 33 04.9	 6.71	 82.21491883	 12.55135347	  34.55	 0.582	G0V

HIP 25873               	 25873	05 31 23.44	+12 33 23.1	 8.40	 82.84767850	 12.55642206	  28.00	 0.814	G5


HIP 26273               	 26273	05 35 41.07	-27 37 13.1	 8.22	 83.92111677	-27.62029823	  11.90	 0.707	G5V

HIP 26335               	 26335	05 36 30.99	+11 19 40.8	 8.78	 84.12913389	 11.32800602	  87.90	 1.415	K7

HIP 26381               	 26381	05 37 02.54	+20 43 54.5	 7.68	 84.26056715	 20.73180857	  30.08	 0.667	G4IV-V

HIP 26453               	 26453	05 37 39.61	-28 37 34.6	 7.26	 84.41504533	-28.62628562	  16.80	 0.404	F3V

HIP 2663                	  2663	00 33 43.85	-35 00 03.0	 6.41	  8.43270424	-35.00082229	  27.63	 0.617	F8/G0V

HIP 26653               	 26653	05 39 52.36	+52 53 52.2	 7.85	 84.96816107	 52.89783269	  35.91	 0.764	G5

HIP 26737               	 26737	05 40 52.01	-31 21 00.8	 7.84	 85.21669361	-31.35021979	  27.15	 0.648	G5V

HIP 26801               	 26801	05 41 30.73	+53 29 27.8	 9.78	 85.37802824	 53.49105798	  80.13	 1.473	M1

HIP 2712                	  2712	00 34 29.37	+47 54 55.4	 7.38	  8.62236013	 47.91539661	  21.20	 0.549	F8

HIP 27207               	 27207	05 46 01.53	+37 17 09.2	 7.34	 86.50636958	 37.28588759	  48.60	 0.833	K0V

HIP 27225               	 27225	05 46 12.04	+78 15 21.9	 8.20	 86.55016335	 78.25608444	  28.20	 0.722	G0

HIP 27253               	 27253	05 46 34.96	+01 10 06.7	 5.95	 86.64566124	  1.16853796	  23.57	 0.773	G4V

HIP 27417               	 27417	05 48 20.08	-24 27 49.5	 7.80	 87.08365922	-24.46376184	  23.48	 0.566	G1V

HIP 27435               	 27435	05 48 34.90	-04 05 38.7	 5.97	 87.14543446	 -4.09408727	  64.25	 0.639	G4V

HIP 27918               	 27918	05 54 28.53	+02 08 37.7	 8.84	 88.61887783	  2.14380286	  37.57	 1.014	K3V

HIP 28066               	 28066	05 56 03.21	+13 55 33.9	 6.60	 89.01336958	 13.92608804	  35.72	 0.650	G5IV

HIP 28267               	 28267	05 58 21.49	-04 39 00.6	 6.99	 89.58955821	 -4.65017345	  43.10	 0.720	G0

HIP 28764               	 28764	06 04 28.51	-45 02 13.9	 6.35	 91.11878029	-45.03720225	  37.46	 0.517	G0IV-V

HIP 28767               	 28767	06 04 29.87	+44 15 38.9	 6.74	 91.12444026	 44.26081415	  30.00	 0.573	F8

HIP 28902               	 28902	06 06 05.93	+69 28 34.6	 8.29	 91.52469347	 69.47626911	  31.30	 0.783	G5

HIP 28954               	 28954	06 06 40.55	+15 32 32.5	 6.76	 91.66896343	 15.54235694	  64.71	 0.814	K0


HIP 29295               	 29295	06 10 34.70	-21 51 46.5	 8.15	 92.64458964	-21.86290752	 173.19	 1.487	M1/M2V


HIP 29432               	 29432	06 12 00.45	+06 47 01.3	 6.85	 93.00187959	  6.78369045	  43.26	 0.642	G4V

HIP 29761               	 29761	06 16 02.70	+70 46 57.6	 7.43	 94.01126215	 70.78265278	  38.89	 0.776	G5

HIP 29843               	 29843	06 17 03.52	-22 42 52.6	 6.05	 94.26466059	-22.71460054	  25.06	 0.576	F8/G0V

HIP 29860               	 29860	06 17 16.25	+05 05 58.9	 5.70	 94.31770235	  5.09969578	  51.76	 0.610	G0.5Vb

HIP 30067               	 30067	06 19 40.18	+16 00 47.8	 6.61	 94.91742934	 16.01328387	  36.32	 0.562	F8V

HIP 30243               	 30243	06 21 43.54	-00 32 19.5	 7.63	 95.43140738	 -0.53874678	  24.33	 0.686	G4V

HIP 30503               	 30503	06 24 43.99	-28 46 47.3	 6.37	 96.18328956	-28.77981914	  45.38	 0.626	G2V

HIP 30545               	 30545	06 25 16.41	-00 56 43.3	 5.88	 96.31836214	 -0.94535265	  30.22	 0.564	F8V

HIP 30552               	 30552	06 25 20.32	+11 14 00.2	 7.01	 96.33465718	 11.23338336	  30.36	 0.593	F8

HIP 30711               	 30711	06 27 11.48	-25 51 21.5	 6.05	 96.79782098	-25.85597162	  33.48	 0.545	F8/G0V

HIP 30860               	 30860	06 28 45.74	+38 57 47.1	 7.89	 97.19059648	 38.96309296	  20.43	 0.740	G5

HIP 3093                	  3093	00 39 22.09	+21 15 04.9	 5.88	  9.84206107	 21.25137390	  90.03	 0.850	K0V

HIP 31083               	 31083	06 31 21.55	+02 54 40.6	 7.14	 97.83981164	  2.91126900	  35.72	 0.710	G0

HIP 31246               	 31246	06 33 12.56	+05 27 47.4	 7.91	 98.30231992	  5.46316076	  29.93	 0.860	K1IV

HIP 31623               	 31623	06 37 03.74	-32 13 30.2	 7.65	 99.26558178	-32.22506176	  28.45	 0.703	G5V

HIP 31635               	 31635	06 37 11.27	+17 33 50.4	 9.63	 99.29694468	 17.56399483	 101.59	 1.480	M1:

HIP 31655               	 31655	06 37 31.83	+09 08 40.1	 7.61	 99.38262960	  9.14447648	  26.13	 0.735	G5

HIP 3185                	  3185	00 40 32.40	-23 48 14.4	 6.14	 10.13501584	-23.80399309	  35.02	 0.718	G3/G5V

HIP 32010               	 32010	06 41 15.58	+23 57 30.2	 8.08	100.31491611	 23.95838794	  57.07	 1.021	K2

HIP 3206                	  3206	00 40 49.00	+40 11 19.7	 7.36	 10.20415817	 40.18879925	  57.90	 0.937	K2V

HIP 32322               	 32322	06 44 51.96	-27 20 32.6	 6.43	101.21648345	-27.34238072	  37.60	 0.550	F7V

HIP 32702               	 32702	06 49 21.36	+43 45 33.2	 7.30	102.33902006	 43.75922967	  22.41	 0.546	F5

HIP 32916               	 32916	06 51 30.49	+40 52 05.0	 8.10	102.87703924	 40.86805498	  24.55	 0.729	G0

HIP 32970               	 32970	06 52 02.07	-33 54 56.6	 7.21	103.00863683	-33.91572691	  21.16	 0.614	G1V

HIP 32984               	 32984	06 52 18.37	-05 10 25.3	 6.58	103.07653738	 -5.17370508	 114.94	 1.071	K3V

HIP 33094               	 33094	06 53 33.76	-28 32 19.4	 6.05	103.39064640	-28.53872019	  38.77	 0.708	G3/G5V

HIP 33109               	 33109	06 53 44.87	-09 30 55.3	 7.05	103.43695544	 -9.51535734	  25.06	 0.566	F5

HIP 33212               	 33212	06 54 42.85	+24 14 44.9	 6.84	103.67853817	 24.24579282	  32.23	 0.582	F8

HIP 33226               	 33226	06 54 49.47	+33 16 08.9	 9.89	103.70610465	 33.26914569	 181.32	 1.580	K:...

HIP 33277               	 33277	06 55 18.69	+25 22 32.3	 5.74	103.82787799	 25.37563643	  57.89	 0.573	G0V

HIP 33382               	 33382	06 56 34.19	+01 09 48.6	 7.41	104.14245997	  1.16348742	  31.15	 0.690	G8V

HIP 33719               	 33719	07 00 18.10	-05 22 02.5	 6.29	105.07543371	 -5.36735720	  35.63	 0.572	G0III-IV

HIP 33848               	 33848	07 01 35.58	+06 55 36.4	 8.16	105.39825472	  6.92677437	  35.35	 0.863	K2V

HIP 33852               	 33852	07 01 38.11	+48 22 47.0	 7.98	105.40878559	 48.37971973	  48.96	 0.986	K3V

HIP 33955               	 33955	07 02 43.04	-06 47 54.5	 8.38	105.67931488	 -6.79846402	  53.47	 1.078	K5V

HIP 34017               	 34017	07 03 30.35	+29 20 20.7	 5.93	105.87647681	 29.33909345	  52.37	 0.595	G4V

HIP 34239               	 34239	07 05 52.75	-01 01 12.0	 7.26	106.46981020	 -1.02001324	  15.59	 0.517	F8

HIP 34608               	 34608	07 10 06.79	+21 14 53.3	 6.43	107.52828376	 21.24813537	  21.67	 0.880	G9V

HIP 3479                	  3479	00 44 26.45	-26 30 57.8	 7.78	 11.11019153	-26.51604473	  30.58	 0.664	G5V

HIP 3502                	  3502	00 44 41.12	+20 26 57.2	 8.70	 11.17135034	 20.44922868	  12.85	 0.771	G5

HIP 35139               	 35139	07 15 51.10	-13 02 59.7	 7.74	108.96292197	-13.04991169	  30.14	 0.607	G5V

HIP 35209               	 35209	07 16 36.39	+01 52 44.6	 7.34	109.15163850	  1.87904933	  24.32	 0.609	G0

HIP 3535                	  3535	00 45 04.92	+01 47 12.9	 8.03	 11.27051240	  1.78691411	  45.43	 0.983	K2V

HIP 35519               	 35519	07 19 53.68	+09 13 46.8	 9.24	109.97365142	  9.22967182	  19.64	 0.876	K0

HIP 3559                	  3559	00 45 28.71	-12 52 49.1	 6.15	 11.36961318	-12.88030968	  31.39	 0.603	G2V


HIP 36249               	 36249	07 27 50.71	+19 02 41.9	 7.24	111.96128684	 19.04496380	  33.87	 0.734	G5

HIP 36322               	 36322	07 28 35.82	+31 51 50.1	 8.70	112.14923495	 31.86392737	   3.71	 0.950	G0

HIP 36357               	 36357	07 29 01.66	+31 59 36.3	 7.73	112.25691754	 31.99341530	  56.98	 0.923	K2V

HIP 36827               	 36827	07 34 26.21	-06 53 47.7	 8.16	113.60922880	 -6.89657277	  40.32	 0.900	K2V

HIP 36834               	 36834	07 34 28.07	+62 56 30.3	10.40	113.61695099	 62.94175585	  87.01	 0.942	M0

HIP 37349               	 37349	07 39 59.29	-03 35 48.6	 7.18	114.99703127	 -3.59683158	  70.44	 0.891	K2V


HIP 38018               	 38018	07 47 30.74	+70 12 25.3	 7.06	116.87808988	 70.20703482	  35.13	 0.712	G0


HIP 38216               	 38216	07 49 45.29	-20 12 26.3	 6.54	117.43868792	-20.20731485	  19.36	 0.579	G0V

HIP 3850                	  3850	00 49 26.44	-23 12 46.0	 7.15	 12.36015525	-23.21277388	  53.09	 0.769	G8/K0V


HIP 38647               	 38647	07 54 48.58	+34 37 12.8	 7.78	118.70241811	 34.62020884	  28.33	 0.659	G0

HIP 38657               	 38657	07 54 54.01	+19 14 14.8	 7.76	118.72504040	 19.23744468	  50.05	 0.950	K2

HIP 38784               	 38784	07 56 18.87	+80 15 55.2	 6.55	119.07863116	 80.26532526	  58.67	 0.719	G8V

HIP 38931               	 38931	07 57 57.88	-00 48 51.9	 8.05	119.49115589	 -0.81442473	  57.26	 1.065	K5V

HIP 38939               	 38939	07 58 04.14	-25 37 33.7	 8.42	119.51723268	-25.62603145	  54.91	 1.043	K3V

HIP 39064               	 39064	07 59 33.82	+20 50 42.8	 7.68	119.89092254	 20.84521031	  43.21	 0.833	K0V


HIP 39417               	 39417	08 03 28.71	-01 09 43.9	 8.25	120.86960570	 -1.16220401	  18.17	 0.715	G5

HIP 39710               	 39710	08 07 00.29	-29 24 07.5	 6.80	121.75122909	-29.40207468	  39.08	 0.600	G2V

HIP 39822               	 39822	08 08 10.99	+71 55 31.9	 8.18	122.04579230	 71.92552031	  21.15	 0.621	G2V

HIP 400                 	   400	00 04 56.08	+23 16 10.7	 7.82	  1.23366004	 23.26964739	  39.06	 0.755	G9V

HIP 40015               	 40015	08 10 20.20	+69 43 29.3	 6.54	122.58415252	 69.72479195	  34.16	 0.567	F8

HIP 40023               	 40023	08 10 27.23	+25 30 29.4	 5.73	122.61344988	 25.50817993	  23.82	 0.825	G8IV

HIP 40118               	 40118	08 11 38.96	+32 27 31.3	 6.78	122.91234372	 32.45869655	  46.05	 0.679	G4V

HIP 40133               	 40133	08 11 49.21	+16 31 28.2	 7.34	122.95505719	 16.52449002	  29.45	 0.667	G0

HIP 4022                	  4022	00 51 33.63	-22 54 33.8	 8.95	 12.89013153	-22.90939545	  65.81	 1.290	K5V

HIP 40283               	 40283	08 13 34.73	-31 44 08.7	 6.70	123.39469744	-31.73575187	  36.98	 0.618	G2V

HIP 40419               	 40419	08 15 07.74	-06 55 06.6	 8.27	123.78223821	 -6.91851209	  29.39	 0.706	G5

HIP 40501               	 40501	08 16 08.20	+01 18 08.7	10.08	124.03417002	  1.30242701	 109.23	 1.510	

HIP 40687               	 40687	08 18 22.02	+61 27 38.3	 8.20	124.59173488	 61.46064485	  17.00	 0.652	G0

HIP 40761               	 40761	08 19 13.37	+14 12 02.2	 7.86	124.80569766	 14.20062022	  19.77	 0.674	G0

HIP 41184               	 41184	08 24 15.71	+44 57 00.5	 7.71	126.06545092	 44.95014247	  27.10	 0.652	G0

HIP 41317               	 41317	08 25 49.42	-29 55 47.6	 7.81	126.45592412	-29.92988208	  25.74	 0.643	G5V

HIP 41479               	 41479	08 27 35.20	-05 08 54.4	 7.17	126.89666428	 -5.14844045	  23.89	 0.646	G0

HIP 41844               	 41844	08 31 55.11	+50 37 03.1	 7.44	127.97962433	 50.61751642	  24.54	 0.630	G1V


HIP 42030               	 42030	08 34 03.26	-01 34 04.7	 7.46	128.51356616	 -1.56797850	  19.47	 0.612	G0

HIP 42075               	 42075	08 34 31.95	-32 35 54.2	 6.41	128.63313216	-32.59839612	  15.93	 0.752	G5V

HIP 42403               	 42403	08 38 45.55	+23 41 10.6	 6.89	129.68979410	 23.68626609	  28.52	 0.547	F8

HIP 42418               	 42418	08 39 00.30	+06 57 22.2	 7.90	129.75127025	  6.95617207	  39.28	 0.897	K0

HIP 42438               	 42438	08 39 11.74	+65 01 14.5	 5.63	129.79892615	 65.02069298	  70.07	 0.618	G1.5Vb

HIP 42488               	 42488	08 39 43.70	+05 45 54.0	 7.26	129.93206875	  5.76499958	  27.99	 0.610	G1V

HIP 42491               	 42491	08 39 44.58	+05 46 16.6	 8.41	129.93575504	  5.77126662	  26.98	 0.810	G5

HIP 42499               	 42499	08 39 50.86	+11 31 26.0	 7.61	129.96190355	 11.52388749	  53.98	 0.832	K1V

HIP 42723               	 42723	08 42 25.11	+04 34 42.9	 7.61	130.60461506	  4.57858485	  15.49	 0.585	G0

HIP 428                 	   428	00 05 10.16	+45 47 13.0	 9.95	  1.29233645	 45.78693438	  86.98	 1.472	M2

HIP 43299               	 43299	08 49 15.33	-15 33 52.8	 7.27	132.31389314	-15.56467840	  24.09	 0.536	F7V

HIP 43410               	 43410	08 50 32.27	+33 17 06.9	 6.22	132.63444521	 33.28525915	  34.86	 0.549	F7Vn

HIP 43587               	 43587	08 52 36.13	+28 19 53.0	 5.96	133.15055377	 28.33138843	  79.80	 0.869	G8V

HIP 43852               	 43852	08 55 55.70	+36 11 46.4	 7.69	133.98208889	 36.19621953	  38.21	 0.771	G5


HIP 4393                	  4393	00 56 17.17	+52 29 28.4	 7.53	 14.07155640	 52.49123259	  24.39	 0.667	G5

HIP 44137               	 44137	08 59 22.32	+07 24 55.1	 7.84	134.84301433	  7.41531386	  20.98	 0.756	G5

HIP 4423                	  4423	00 56 40.16	+17 57 35.8	 8.36	 14.16732517	 17.95993365	  14.75	 0.631	G0


HIP 45383               	 45383	09 14 53.72	+04 26 34.4	 7.91	138.72385240	  4.44289009	  54.25	 1.035	K0

HIP 45737               	 45737	09 19 28.39	+00 53 50.5	 8.15	139.86830215	  0.89736617	  34.06	 0.860	K0

HIP 45982               	 45982	09 22 37.52	+50 36 13.3	 9.06	140.65635304	 50.60370444	  17.13	 0.765	G5

HIP 45995               	 45995	09 22 49.67	-35 31 22.6	 7.21	140.70696531	-35.52295439	  27.01	 0.557	G0V

HIP 46580               	 46580	09 29 55.12	+05 39 17.5	 7.20	142.47966660	  5.65486700	  78.87	 1.002	K3V

HIP 46639               	 46639	09 30 36.16	+52 47 24.0	 9.24	142.65065571	 52.78999112	  10.35	 0.548	G0

HIP 46816               	 46816	09 32 25.72	-11 11 05.0	 7.82	143.10714949	-11.18471992	  54.52	 0.933	K0

HIP 47007               	 47007	09 34 50.73	-12 07 44.8	 6.54	143.71139454	-12.12912278	  36.42	 0.623	G0

HIP 47202               	 47202	09 37 11.81	-43 16 18.9	 8.23	144.29920891	-43.27191181	  22.97	 0.811	K0V

HIP 473                 	   473	00 05 40.28	+45 48 44.8	 8.20	  1.41782275	 45.81245496	  85.10	 1.410	K2

HIP 47513               	 47513	09 41 10.76	+13 12 35.7	10.38	145.29481658	 13.20991003	  88.06	 1.490	M2

HIP 47650               	 47650	09 42 52.87	+70 02 24.2	11.19	145.72030897	 70.04005591	  86.69	 1.488	M4

HIP 47690               	 47690	09 43 25.63	+42 41 36.8	 8.13	145.85679899	 42.69356785	  56.23	 1.133	K5V

HIP 48423               	 48423	09 52 16.96	+49 11 27.5	 7.74	148.07066787	 49.19096342	  31.03	 0.718	G5

HIP 48468               	 48468	09 52 58.21	-27 19 56.7	 6.28	148.24254341	-27.33240371	  17.51	 0.622	G1V

HIP 4849                	  4849	01 02 24.37	+05 03 39.3	 8.16	 15.60155392	  5.06090960	  46.61	 1.008	K2

HIP 48714               	 48714	09 56 09.06	+62 47 23.6	 8.99	149.03774424	 62.78988049	  95.40	 1.438	M2

HIP 4872                	  4872	01 02 37.95	+62 20 41.4	 9.56	 15.65812055	 62.34482783	  99.44	 1.463	K5V...

HIP 490                 	   490	00 05 52.47	-41 45 10.4	 7.51	  1.46861724	-41.75288210	  24.85	 0.595	G0V

HIP 49060               	 49060	10 00 39.92	+28 10 26.3	 7.99	150.16631422	 28.17398213	  10.03	 0.607	G0V

HIP 49350               	 49350	10 04 26.71	-07 13 04.4	 7.49	151.11127719	 -7.21787576	  31.44	 0.689	G5

HIP 49366               	 49366	10 04 37.77	-11 43 46.7	 8.15	151.15738731	-11.72964083	  43.14	 0.891	K0

HIP 49680               	 49680	10 08 29.75	+33 30 54.0	 7.49	152.12394139	 33.51500167	  23.02	 0.708	G5

HIP 49756               	 49756	10 09 23.55	+02 22 16.0	 7.55	152.34811603	  2.37110094	  26.96	 0.647	G0

HIP 49769               	 49769	10 09 32.09	-35 51 24.5	 6.14	152.38369551	-35.85681022	  32.55	 0.615	G1V

HIP 49942               	 49942	10 11 48.31	+23 45 18.1	 8.42	152.95129403	 23.75501401	  16.01	 0.637	G2V

HIP 49986               	 49986	10 12 17.76	-03 44 42.3	 9.26	153.07398953	 -3.74507182	 127.99	 1.487	M3

HIP 5004                	  5004	01 04 05.67	-34 40 26.6	10.25	 16.02363166	-34.67406283	  16.28	 0.764	G5IV

